,Due Date,Debit Amount
0,2020-12-31,589446.66
1,2021-01-31,1375116.92
2,2021-02-28,377229.16000000003
3,2021-03-31,2153714.9
4,2021-04-30,2060805.73
5,2021-05-31,1820471.75
6,2021-06-30,1767881.3800000001
7,2021-07-31,1950384.91
8,2021-08-31,1783498.1
9,2021-09-30,1789262.3
10,2021-10-31,2036318.31
11,2021-11-30,2162442.35
12,2021-12-31,2304981.19
13,2022-01-31,2825648.94
14,2022-02-28,858519.36
15,2022-03-31,3785170.58
16,2022-04-30,3150726.25
17,2022-05-31,2791928.87
18,2022-06-30,2733372.9
19,2022-07-31,2762388.86
20,2022-08-31,2653497.45
21,2022-09-30,2640019.68
22,2022-10-31,2770498.53
23,2022-11-30,3467553.79
24,2022-12-31,3901070.27
25,2023-01-31,3761852.67
26,2023-02-28,654621.7
27,2023-03-31,4326950.71
28,2023-04-30,2553766.38
29,2023-05-31,2446143.95
30,2023-06-30,2085062.83
31,2023-07-31,3273109.33
32,2023-08-31,1451879.49
33,2023-09-30,1408309.98
34,2023-10-31,1356362.7
35,2023-11-30,1396891.93
36,2023-12-31,1523347.54
37,2024-01-31,1747146.24
38,2024-02-29,606149.9
39,2024-03-31,2952195.02
40,2024-04-30,1516073.98
41,2024-05-31,1779841.86
42,2024-06-30,1828042.06
43,2024-07-31,1740217.94
44,2024-08-31,695017.59
